VIN,timestamp,speed,rpm,calculatedEngineload,coolantTemperature,latitude,longitude,fuelconsumption
JTMKF4DV5B5309262,1462539335657,38,8500,19,41.84411765,18.18215,-66.9588,
WP0CA29863U153389,1462539335717,23,9000,20.42307692,42.11323529,18.257,-66.1047,
2FTRX07W53C371590,1462539335777,23,3000,20.20879121,42.38235294,,,
1FAHP26W49G252748,1462539335837,45,2000,19.99450549,42.65147059,18.142,-66.2733,
JH4TB2H26CC000009,1462539335897,3,4000,19.78021978,42.92058824,18.28832,-67.136,
1HGCM82633A004361,1462539335957,23,4000,19.56593407,23,18.27953,-66.8022,
1LNHM81W8YY836539,1462539336017,34,4500,19.35164835,23,18.44973,-66.6988,
1ZVHT82H485113465,1462539336077,34,5000,19.13736264,23,18.45809,-66.7327,
JTMKF4DV5B5309263,1462539336137,45,5500,18.92307692,32,18.42968,-66.6745,
WP0CA29863U153390,1462539336197,45,6000,18.70879121,23,17.96977,-66.0615,
2FTRX07W53C371591,1462539336257,4,6500,18.49450549,22,18.42675,-66.6767,
1FAHP26W49G252749,1462539336317,54,7000,18.28021978,34,18.4555,-66.5558,
JH4TB2H26CC000010,1462539336377,54,7500,18.06593407,34,18.18546,-66.3058,
1HGCM82633A004362,1462539336437,3,8000,17.85164835,23.26320297,18.00313,-67.1675,
1LNHM81W8YY836540,1462539336497,43,8500,17.63736264,21.91270847,18.08643,-67.1522,
1ZVHT82H485113466,1462539336557,3,9000,17.42307692,20.56221396,18.0554,-66.726,
JTMKF4DV5B5309264,1462539336617,42,3000,17.20879121,19.21171946,18.23211,-66.0391,
WP0CA29863U153391,1462539336677,23,2000,16.99450549,17.86122495,18.235,-66.0373,
2FTRX07W53C371592,1462539336737,32,4000,16.78021978,16.51073045,18.43525,-66.8564,
1FAHP26W49G252750,1462539336797,45,4000,16.56593407,15.16023594,,,
JH4TB2H26CC000011,1462539336857,56,3000,16.35164835,13.80974144,18.18674,-66.8517,
1HGCM82633A004363,1462539336917,57,2000,16.13736264,45,18.19453,-66.1835,
1LNHM81W8YY836541,1462539336977,38,4000,15.92307692,11.10875242,18.11153,-66.1771,
1ZVHT82H485113467,1462539337037,23,4000,15.70879121,9.758257919,18.2629,-65.6465,
JTMKF4DV5B5309265,1462539337097,23,4500,15.49450549,8.407763413,18.11328,-67.0397,
WP0CA29863U153392,1462539337157,45,5000,15.28021978,23,18.07308,-66.9486,
2FTRX07W53C371593,1462539337217,3,5500,15.06593407,32,18.30814,-66.4984,
1FAHP26W49G252751,1462539337277,23,6000,14.85164835,33,18.17609,-66.1587,
JH4TB2H26CC000012,1462539337337,34,6500,14.63736264,23,18.0772,-66.3591,
1HGCM82633A004364,1462539337397,34,7000,14.42307692,23,18.2689,-66.7052,
1LNHM81W8YY836542,1462539337457,45,7500,14.20879121,34,,,
1ZVHT82H485113468,1462539337517,45,8000,17,23,18.34125,-66.3152,
JTMKF4DV5B5309266,1462539337577,4,8500,18,23,18.04958,-66.5522,
WP0CA29863U153393,1462539337637,54,9000,19,26,18.30851,-65.3047,
2FTRX07W53C371594,1462539337697,54,3000,20,29,18.4428,-66.2769,
1FAHP26W49G252752,1462539337757,3,2000,21.43113553,32,17.96453,-66.9399,
JH4TB2H26CC000013,1462539337817,43,4000,22.6670853,21,18.33304,-65.6562,
1HGCM82633A004365,1462539337877,3,4000,23.90303506,34,18.36333,-66.5677,
1LNHM81W8YY836543,1462539337937,42,4500,25.13898482,28.15384615,18.45745,-66.6122,
1ZVHT82H485113469,1462539337997,23,5000,26.37493459,28.26373626,17.99211,-66.901,
JTMKF4DV5B5309267,1462539338057,32,5500,27.61088435,28.37362637,17.97952,-66.1172,
WP0CA29863U153394,1462539338117,45,6000,28.84683412,28.48351648,17.97637,-66.1168,
2FTRX07W53C371595,1462539338177,56,6500,30.08278388,28.59340659,18.03887,-66.7917,
1FAHP26W49G252753,1462539338237,57,7000,31.31873365,28.7032967,18.25414,-65.9736,
JH4TB2H26CC000014,1462539338297,38,7500,20,28.81318681,18.43296,-66.8004,
1HGCM82633A004366,1462539338357,23,8000,23,28.92307692,18.13911,-67.1209,
1LNHM81W8YY836544,1462539338417,23,8500,23,29.03296703,18.15083,-65.8266,
1ZVHT82H485113470,1462539338477,45,9000,25,29.14285714,18.47886,-67.0197,
JTMKF4DV5B5309268,1462539338537,3,3000,25,29.25274725,18.21257,-66.5924,
WP0CA29863U153395,1462539338597,23,2000,15,29.36263736,18.04422,-66.5021,
2FTRX07W53C371596,1462539338657,34,4000,25,29.47252747,18.22895,-65.9214,
1FAHP26W49G252754,1462539338717,34,4000,25,29.58241758,18.01782,-67.0423,
JH4TB2H26CC000015,1462539338777,45,4500,28,29.69230769,18.28842,-66.875,
1HGCM82633A004367,1462539338837,45,5000,14,29.8021978,18.24134,-66.976,
1LNHM81W8YY836545,1462539338897,4,5500,24,29.91208791,18.1789,-65.8699,
1ZVHT82H485113471,1462539338957,54,6000,19,30.02197802,,,
JTMKF4DV5B5309269,1462539339017,54,6500,19,30.13186813,,,
WP0CA29863U153396,1462539339077,3,7000,20.42307692,30.24175824,18.42614,-66.487,
2FTRX07W53C371597,1462539339137,43,7500,20.20879121,30.35164835,18.37956,-67.0842,
1FAHP26W49G252755,1462539339197,3,8000,19.99450549,30.46153846,18.33612,-67.2368,
JH4TB2H26CC000016,1462539339257,42,8500,19.78021978,30.57142857,18.44233,-66.9328,
1HGCM82633A004368,1462539339317,23,9000,19.56593407,30.68131868,18.20523,-67.1266,
1LNHM81W8YY836546,1462539339377,32,3000,19.35164835,30.79120879,18.21902,-67.5081,
1ZVHT82H485113472,1462539339437,45,2000,19.13736264,30.9010989,18.2084,-67.1543,
JTMKF4DV5B5309270,1462539339497,56,4000,18.92307692,31.01098901,18.09281,-67.0452,
WP0CA29863U153397,1462539339557,57,4000,18.70879121,31.12087912,18.3326,-66.981,
2FTRX07W53C371598,1462539339617,38,4500,18.49450549,31.23076923,18.31708,-66.4153,
1FAHP26W49G252756,1462539339677,23,5000,18.28021978,31.34065934,18.40415,-66.6135,
JH4TB2H26CC000017,1462539339737,23,5500,18.06593407,31.45054945,18.49537,-67.0987,
1HGCM82633A004369,1462539339797,45,6000,17.85164835,31.56043956,18.41967,-66.3319,
1LNHM81W8YY836547,1462539339857,3,6500,17.63736264,31.67032967,18.44067,-66.3921,
1ZVHT82H485113473,1462539339917,23,7000,17.42307692,31.78021978,18.44311,-66.3983,
JTMKF4DV5B5309271,1462539339977,34,7500,17.20879121,31.89010989,18.06547,-66.8559,
WP0CA29863U153398,1462539340037,34,8000,16.99450549,32,,,
2FTRX07W53C371599,1462539340097,45,8500,16.78021978,32.10989011,18.24621,-66.1283,
1FAHP26W49G252757,1462539340157,45,9000,16.56593407,32.21978022,17.97011,-66.2229,
JH4TB2H26CC000018,1462539340217,4,3000,16.35164835,32.32967033,18.12942,-66.2654,
1HGCM82633A004370,1462539340277,54,2000,16.13736264,32.43956044,18.01451,-65.9102,
1LNHM81W8YY836548,1462539340337,54,4000,15.92307692,32.54945055,,,
1ZVHT82H485113474,1462539340397,3,4000,15.70879121,32.65934066,,,
JTMKF4DV5B5309272,1462539340457,43,4500,15.49450549,32.76923077,17.98729,-66.0555,
WP0CA29863U153399,1462539340517,3,5000,15.28021978,32.87912088,18.00349,-66.5587,
2FTRX07W53C371600,1462539340577,42,5500,15.06593407,32.98901099,17.99907,-66.5997,
1FAHP26W49G252758,1462539340637,23,6000,14.85164835,33.0989011,18.0043,-66.6137,
JH4TB2H26CC000019,1462539340697,32,6500,14.63736264,33.20879121,18.22048,-65.7429,
1HGCM82633A004371,1462539340757,45,7000,14.42307692,33.31868132,18.29457,-66.251,
1LNHM81W8YY836549,1462539340817,56,7500,14.20879121,33.42857143,18.21783,-66.4227,
1ZVHT82H485113475,1462539340877,57,8000,17,33.53846154,18.36416,-65.7783,
JTMKF4DV5B5309273,1462539340937,38,8500,18,33.64835165,18.0232,-66.0131,
WP0CA29863U153400,1462539340997,23,9000,19,33.75824176,,,
2FTRX07W53C371601,1462539341057,23,3000,20,33.86813187,18.23393,-66.045,
1FAHP26W49G252759,1462539341117,45,2000,21.43113553,33.97802198,18.21297,-66.058,
JH4TB2H26CC000020,1462539341177,3,4000,22.6670853,34.08791209,18.01335,-66.6522,
1HGCM82633A004372,1462539341237,23,4000,23.90303506,34.1978022,18.35615,-65.8909,
1LNHM81W8YY836550,1462539341297,34,4500,25.13898482,34.30769231,18.02263,-66.6173,
1ZVHT82H485113476,1462539341357,34,5000,26.37493459,34.41758242,18.07733,-66.6119,
JTMKF4DV5B5309274,1462539341417,45,5500,27.61088435,34.52747253,18.02178,-66.6137,
WP0CA29863U153401,1462539341477,45,6000,28.84683412,34.63736264,18.01933,-66.6192,
2FTRX07W53C371602,1462539341537,4,6500,30.08278388,34.74725275,17.9995,-66.6439,
1FAHP26W49G252760,1462539341597,54,7000,31.31873365,34.85714286,18.25844,-65.6599,
JH4TB2H26CC000021,1462539341657,54,7500,20,34.96703297,18.1129,-66.1538,
1HGCM82633A004373,1462539341717,3,8000,23,35.07692308,18.10297,-66.1393,
1LNHM81W8YY836551,1462539341777,43,8500,23,35.18681319,18.32265,-65.6612,
1ZVHT82H485113477,1462539341837,3,9000,25,35.2967033,18.16984,-66.1627,
JTMKF4DV5B5309275,1462539341897,42,3000,25,35.40659341,18.33171,-65.6276,
WP0CA29863U153402,1462539341957,23,2000,15,35.51648352,18.16076,-65.7577,
2FTRX07W53C371603,1462539342017,32,4000,25,35.62637363,18.26487,-65.5948,
1FAHP26W49G252761,1462539342077,45,4000,25,35.73626374,,,
JH4TB2H26CC000022,1462539342137,56,3000,28,35.84615385,18.20633,-65.7431,
1HGCM82633A004374,1462539342197,57,2000,14,35.95604396,18.36621,-65.8228,
1LNHM81W8YY836552,1462539342257,38,4000,24,36.06593407,18.06947,-66.9526,
1ZVHT82H485113478,1462539342317,23,4000,19,36.17582418,18.32673,-65.6525,
JTMKF4DV5B5309276,1462539342377,23,4500,19,36.28571429,17.9938,-66.2653,
WP0CA29863U153403,1462539342437,45,5000,20.42307692,36.3956044,18.49375,-67.0977,
2FTRX07W53C371604,1462539342497,3,5500,20.20879121,36.50549451,,,
1FAHP26W49G252762,1462539342557,23,6000,19.99450549,36.61538462,18.15633,-65.9683,
JH4TB2H26CC000023,1462539342617,34,6500,19.78021978,36.72527473,,,
1HGCM82633A004375,1462539342677,34,7000,19.56593407,36.83516484,17.98631,-66.3946,
1LNHM81W8YY836553,1462539342737,45,7500,19.35164835,36.94505495,,,
1ZVHT82H485113479,1462539342797,45,8000,19.13736264,37.05494505,18.26545,-66.7024,
JTMKF4DV5B5309277,1462539342857,4,8500,18.92307692,37.16483516,18.42022,-66.3243,
WP0CA29863U153404,1462539342917,54,9000,18.70879121,37.27472527,18.45218,-66.3998,
2FTRX07W53C371605,1462539342977,54,3000,18.49450549,37.38461538,18.45208,-66.3971,
1FAHP26W49G252763,1462539343037,3,2000,18.28021978,37.49450549,18.12566,-65.456,
JH4TB2H26CC000024,1462539343097,43,4000,18.06593407,37.6043956,18.12602,-66.4821,
1HGCM82633A004376,1462539343157,3,4000,17.85164835,37.71428571,18.07275,-65.897,
1LNHM81W8YY836554,1462539343217,42,4500,17.63736264,37.82417582,18.03072,-66.8562,
1ZVHT82H485113480,1462539343277,23,5000,17.42307692,37.93406593,18.09281,-66.3611,
JTMKF4DV5B5309278,1462539343337,32,5500,17.20879121,38.04395604,18.18744,-65.8709,
WP0CA29863U153405,1462539343397,45,6000,16.99450549,38.15384615,18.42767,-65.8761,
2FTRX07W53C371606,1462539343457,56,6500,16.78021978,38.26373626,18.36134,-65.7213,
JH4TB2H26CC000000,1462539343517,57,7000,16.56593407,38.37362637,18.31115,-65.2926,
1HGCM82633A004352,1462539343577,38,7500,16.35164835,38.48351648,18.22409,-65.9132,
1LNHM81W8YY836530,1462539343637,23,8000,16.13736264,38.59340659,18.25863,-65.9779,
1ZVHT82H485113456,1462539343697,23,8500,15.92307692,38.7032967,18.06854,-66.5594,
JTMKF4DV5B5309254,1462539343757,45,9000,15.70879121,38.81318681,18.22335,-66.2267,
WP0CA29863U153381,1462539343817,3,3000,15.49450549,38.92307692,18.30487,-66.3231,
2FTRX07W53C371582,1462539343877,23,2000,15.28021978,39.03296703,17.98414,-66.1278,
1FAHP26W49G252740,1462539343937,34,4000,15.06593407,39.14285714,18.01882,-66.7956,
JH4TB2H26CC000001,1462539343997,34,4000,14.85164835,39.25274725,18.12809,-66.2687,
1HGCM82633A004353,1462539344057,45,4500,14.63736264,39.36263736,18.14726,-65.8227,
1LNHM81W8YY836531,1462539344117,45,5000,14.42307692,39.47252747,18.13803,-65.7885,
1ZVHT82H485113457,1462539344177,4,5500,14.20879121,39.58241758,18.20429,-66.3106,
JTMKF4DV5B5309255,1462539344237,54,6000,17,39.69230769,18.03625,-66.5029,
WP0CA29863U153382,1462539344297,54,6500,18,39.8021978,18.32229,-64.9637,
2FTRX07W53C371583,1462539344357,3,7000,19,39.91208791,18.32229,-64.9637,
1FAHP26W49G252741,1462539344417,43,7500,20,40.02197802,18.32229,-64.9637,
JH4TB2H26CC000002,1462539344477,3,8000,21.43113553,40.13186813,18.32229,-64.9637,
1HGCM82633A004354,1462539344537,42,8500,22.6670853,40.24175824,18.32229,-64.9637,
1LNHM81W8YY836532,1462539344597,23,9000,23.90303506,40.35164835,17.73421,-64.7347,
1ZVHT82H485113458,1462539344657,32,3000,25.13898482,40.46153846,17.73421,-64.7347,
JTMKF4DV5B5309256,1462539344717,45,2000,26.37493459,40.57142857,17.73421,-64.7347,
WP0CA29863U153383,1462539344777,56,4000,27.61088435,40.68131868,17.73421,-64.7347,
2FTRX07W53C371584,1462539344837,57,4000,28.84683412,40.79120879,17.73421,-64.7347,
1FAHP26W49G252742,1462539344897,38,4500,30.08278388,40.9010989,18.32816,-64.7407,
JH4TB2H26CC000003,1462539344957,23,5000,31.31873365,12,18.32816,-64.7407,
1HGCM82633A004355,1462539345017,23,5500,20,34,17.73421,-64.7347,
1LNHM81W8YY836533,1462539345077,45,6000,23,42,17.73421,-64.7347,
1ZVHT82H485113459,1462539345137,3,6500,23,56,17.73421,-64.7347,
JTMKF4DV5B5309257,1462539345197,23,7000,25,45,17.73421,-64.7347,
WP0CA29863U153384,1462539345257,34,7500,25,34,18.46543,-66.1079,
2FTRX07W53C371585,1462539345317,34,8000,15,34,18.41046,-66.0605,
1FAHP26W49G252743,1462539345377,45,8500,25,54,18.46454,-66.1008,
JH4TB2H26CC000004,1462539345437,45,9000,25,43,18.45113,-66.078,
1HGCM82633A004356,1462539345497,4,3000,28,44.43026205,18.41046,-66.0605,
1LNHM81W8YY836534,1462539345557,54,2000,14,45.09672745,18.44228,-66.0676,
1ZVHT82H485113460,1462539345617,54,4000,24,45.76319285,18.41046,-66.0605,
JTMKF4DV5B5309258,1462539345677,3,4000,19,46.42965825,18.45009,-66.0577,
WP0CA29863U153385,1462539345737,43,4500,19,47.09612366,18.44595,-66.0593,
2FTRX07W53C371586,1462539345797,3,5000,20.42307692,47.76258906,18.45091,-66.0426,
1FAHP26W49G252744,1462539345857,42,5500,20.20879121,48.42905446,18.41046,-66.0605,
JH4TB2H26CC000005,1462539345917,23,6000,19.99450549,49.09551986,18.437,-66.0489,
1HGCM82633A004357,1462539345977,32,6500,19.78021978,49.76198527,18.41046,-66.0605,
1LNHM81W8YY836535,1462539346037,45,7000,19.56593407,50.42845067,18.42226,-66.0513,
1ZVHT82H485113461,1462539346097,56,7500,19.35164835,51.09491607,18.41767,-66.0649,
JTMKF4DV5B5309259,1462539346157,57,8000,19.13736264,51.76138148,18.41046,-66.0605,
WP0CA29863U153386,1462539346217,38,8500,18.92307692,52.42784688,18.41242,-66.0907,
2FTRX07W53C371587,1462539346277,23,9000,18.70879121,53.09431228,18.39402,-66.0863,
1FAHP26W49G252745,1462539346337,23,3000,18.49450549,53.76077768,18.41046,-66.0605,
JH4TB2H26CC000006,1462539346397,45,2000,18.28021978,54.42724309,18.41068,-66.0381,
1HGCM82633A004358,1462539346457,3,4000,18.06593407,55.09370849,18.40192,-66.0119,
1LNHM81W8YY836536,1462539346517,23,4000,17.85164835,55.76017389,18.40001,-66.0503,
1ZVHT82H485113462,1462539346577,34,4500,17.63736264,56.42663929,18.36136,-66.0562,
JTMKF4DV5B5309260,1462539346637,34,5000,17.42307692,57.0931047,18.39184,-66.0687,
WP0CA29863U153387,1462539346697,45,5500,17.20879121,57.7595701,18.41046,-66.0605,
2FTRX07W53C371588,1462539346757,45,6000,16.99450549,58.4260355,18.41046,-66.0605,
1FAHP26W49G252746,1462539346817,4,6500,16.78021978,59.09250091,18.41046,-66.0605,
JH4TB2H26CC000007,1462539346877,54,7000,16.56593407,59.75896631,18.41046,-66.0605,
1HGCM82633A004359,1462539346937,54,7500,16.35164835,60.42543171,18.41046,-66.0605,
1LNHM81W8YY836537,1462539346997,3,8000,16.13736264,61.09189711,18.41351,-66.122,
1ZVHT82H485113463,1462539347057,43,8500,15.92307692,61.75836252,18.41046,-66.0605,
JTMKF4DV5B5309261,1462539347117,3,9000,15.70879121,62.42482792,18.41046,-66.0605,
WP0CA29863U153388,1462539347177,42,3000,15.49450549,63.09129332,18.41046,-66.0605,
2FTRX07W53C371589,1462539347237,23,2000,15.28021978,63.75775872,18.41046,-66.0605,
1FAHP26W49G252747,1462539347297,32,4000,15.06593407,64.42422413,18.41046,-66.0605,
JH4TB2H26CC000008,1462539347357,45,4000,14.85164835,65.09068953,18.41046,-66.0605,
1HGCM82633A004360,1462539347417,56,3000,14.63736264,65.75715493,18.43317,-66.2042,
1LNHM81W8YY836538,1462539347477,57,2000,14.42307692,66.42362034,18.45776,-66.1965,
1ZVHT82H485113464,1462539347537,38,4000,14.20879121,67.09008574,18.45776,-66.1965,
JTMKF4DV5B5309262,1462539347597,23,4000,17,67.75655114,18.42922,-66.1801,
WP0CA29863U153389,1462539347657,23,4500,18,68.42301654,18.36802,-66.2341,
2FTRX07W53C371590,1462539347717,45,5000,19,69.08948195,18.35894,-66.2581,
1FAHP26W49G252748,1462539347777,3,5500,20,69.75594735,18.41046,-66.0605,
JH4TB2H26CC000009,1462539347837,23,6000,21.43113553,70.42241275,18.34216,-66.1664,
1HGCM82633A004361,1462539347897,34,6500,22.6670853,71.08887815,18.36967,-66.1867,
1LNHM81W8YY836539,1462539347957,34,7000,23.90303506,71.75534356,18.34487,-66.166,
1ZVHT82H485113465,1462539348017,45,7500,25.13898482,72.42180896,18.38706,-66.1594,
JTMKF4DV5B5309263,1462539348077,45,8000,26.37493459,73.08827436,18.34487,-66.166,
WP0CA29863U153390,1462539348137,4,8500,27.61088435,73.75473977,18.41246,-66.1603,
2FTRX07W53C371591,1462539348197,54,9000,28.84683412,74.42120517,18.43768,-66.1385,
1FAHP26W49G252749,1462539348257,54,3000,30.08278388,75.08767057,18.44322,-66.1393,
JH4TB2H26CC000010,1462539348317,3,2000,31.31873365,75.75413597,18.43145,-66.117,
1HGCM82633A004362,1462539348377,43,4000,20,76.42060138,18.39851,-66.1152,
1LNHM81W8YY836540,1462539348437,3,4000,23,23,18.40848,-66.1025,
1ZVHT82H485113466,1462539348497,42,4500,23,23,18.36698,-66.1089,
JTMKF4DV5B5309264,1462539348557,23,5000,25,23,18.35914,-66.1123,
WP0CA29863U153391,1462539348617,32,5500,25,34,18.32969,-66.1188,
2FTRX07W53C371592,1462539348677,45,6000,15,34,18.41046,-66.0605,
1FAHP26W49G252750,1462539348737,56,6500,25,65,18.34677,-66.0056,
JH4TB2H26CC000011,1462539348797,57,7000,25,56,18.337,-65.9901,
1HGCM82633A004363,1462539348857,38,7500,28,45,18.337,-65.9901,
1LNHM81W8YY836541,1462539348917,23,8000,14,45,18.43189,-66.0127,
1ZVHT82H485113467,1462539348977,23,8500,24,56,18.41046,-66.0605,
JTMKF4DV5B5309265,1462539349037,45,9000,19,67,18.40935,-65.9931,
WP0CA29863U153392,1462539349097,3,3000,19,56,18.41441,-65.9758,
2FTRX07W53C371593,1462539349157,23,2000,20.42307692,45,18.39336,-65.9725,
1FAHP26W49G252751,1462539349217,34,4000,20.20879121,44,18.3749,-65.9469,
JH4TB2H26CC000012,1462539349277,34,4000,19.99450549,45,18.39336,-65.9725,
1HGCM82633A004364,1462539349337,45,4500,19.78021978,56,18.37223,-65.9628,
1LNHM81W8YY836542,1462539349397,45,5000,19.56593407,67,18.39336,-65.9725,
1ZVHT82H485113468,1462539349457,4,5500,19.35164835,64.09558824,42.07061,-72.6203,
JTMKF4DV5B5309266,1462539349517,54,6000,19.13736264,66.09313725,42.37765,-72.5032,
WP0CA29863U153393,1462539349577,54,6500,18.92307692,68.09068627,42.36956,-72.636,
2FTRX07W53C371594,1462539349637,3,7000,18.70879121,70.08823529,42.38449,-72.5132,
1FAHP26W49G252752,1462539349697,43,7500,18.49450549,72.08578431,42.41209,-72.1044,
JH4TB2H26CC000013,1462539349757,3,8000,18.28021978,74.08333333,42.27842,-72.411,
1HGCM82633A004365,1462539349817,42,8500,18.06593407,76.08088235,42.17431,-72.9483,
1LNHM81W8YY836543,1462539349877,23,9000,17.85164835,78.07843137,42.20609,-72.3405,
1ZVHT82H485113469,1462539349937,32,3000,17.63736264,80.07598039,42.12604,-72.2055,
JTMKF4DV5B5309267,1462539349997,45,2000,17.42307692,43,42.27144,-73.0196,
WP0CA29863U153394,1462539350057,56,4000,17.20879121,34,42.39084,-72.8436,
2FTRX07W53C371595,1462539350117,57,4000,16.99450549,32,42.16149,-72.6032,
1FAHP26W49G252753,1462539350177,38,4500,16.78021978,23,42.17073,-72.6048,
JH4TB2H26CC000014,1462539350237,23,5000,16.56593407,12,42.17599,-72.5727,
