speed,rpm,calculatedEngineload,ts
23,6000,19.99450549,327832
32,6500,19.78021978,329032
45,7000,19.56593407,330232
56,7500,19.35164835,331432
57,8000,19.13736264,332632
38,8500,18.92307692,333832
23,9000,18.70879121,335032
23,3000,18.49450549,336232
45,2000,18.28021978,337432
3,4000,18.06593407,338632
23,4000,17.85164835,339832
34,4500,17.63736264,341032
34,5000,17.42307692,342232
45,5500,17.20879121,343432
45,6000,16.99450549,344632
4,6500,16.78021978,345832
54,7000,16.56593407,347032
54,7500,16.35164835,348232
3,8000,16.13736264,349432
43,8500,15.92307692,350632
3,9000,15.70879121,351832
42,3000,15.49450549,353032
23,2000,15.28021978,354232
32,4000,15.06593407,355432
45,4000,14.85164835,356632
56,3000,14.63736264,357832
57,2000,14.42307692,359032
38,4000,14.20879121,360232
23,4000,17,361432
23,4500,18,362632
45,5000,19,363832
3,5500,20,365032
23,6000,21.43113553,366232
34,6500,22.6670853,367432
34,7000,23.90303506,368632
45,7500,25.13898482,369832
45,8000,26.37493459,371032
4,8500,27.61088435,372232
54,9000,28.84683412,373432
54,3000,30.08278388,374632
3,2000,31.31873365,375832
43,4000,20,377032
3,4000,23,378232
42,4500,23,379432
23,5000,25,380632
32,5500,25,381832
45,6000,15,383032
56,6500,25,384232
57,7000,25,385432
38,7500,28,386632
23,8000,14,387832
23,8500,24,389032
45,9000,19,390232
3,3000,19,391432
23,2000,20.42307692,392632
34,4000,20.20879121,393832
34,4000,19.99450549,395032
45,4500,19.78021978,396232
45,5000,19.56593407,397432
4,5500,19.35164835,398632
54,6000,19.13736264,399832
54,6500,18.92307692,401032
3,7000,18.70879121,402232
43,7500,18.49450549,403432
3,8000,18.28021978,404632
42,8500,18.06593407,405832
23,9000,17.85164835,407032
32,3000,17.63736264,408232
45,2000,17.42307692,409432
56,4000,17.20879121,410632
57,4000,16.99450549,411832
38,4500,16.78021978,413032
23,5000,16.56593407,414232
23,5500,16.35164835,415432
45,6000,16.13736264,416632
3,6500,15.92307692,417832
23,7000,15.70879121,419032
34,7500,15.49450549,420232
34,8000,15.28021978,421432
45,8500,15.06593407,422632
45,9000,14.85164835,423832
4,3000,14.63736264,425032
54,2000,14.42307692,426232
54,4000,14.20879121,427432
3,4000,17,428632
43,4500,18,429832
3,5000,19,431032
42,5500,20,432232
23,6000,21.43113553,433432
32,6500,22.6670853,434632
45,7000,23.90303506,435832
56,7500,25.13898482,437032
57,8000,26.37493459,438232
38,8500,27.61088435,439432
23,9000,28.84683412,440632
23,3000,30.08278388,441832
45,2000,31.31873365,443032
3,4000,20,444232
23,4000,23,445432
34,4500,23,446632
34,5000,25,447832
45,5500,25,449032
45,6000,15,450232
4,6500,25,451432
54,7000,25,452632
54,7500,28,453832
3,8000,14,455032
43,8500,24,456232
3,9000,19,457432
42,3000,19,458632
23,2000,20.42307692,459832
32,4000,20.20879121,461032
45,4000,19.99450549,462232
56,3000,19.78021978,463432
57,2000,19.56593407,464632
38,4000,19.35164835,465832
23,4000,19.13736264,467032
23,4500,18.92307692,468232
45,5000,18.70879121,469432
3,5500,18.49450549,470632
23,6000,18.28021978,471832
34,6500,18.06593407,473032
34,7000,17.85164835,474232
45,7500,17.63736264,475432
45,8000,17.42307692,476632
4,8500,17.20879121,477832
54,9000,16.99450549,479032
54,3000,16.78021978,480232
3,2000,16.56593407,481432
43,4000,16.35164835,482632
3,4000,16.13736264,483832
42,4500,15.92307692,485032
23,5000,15.70879121,486232
32,5500,15.49450549,487432
45,6000,15.28021978,488632
56,6500,15.06593407,489832
57,7000,14.85164835,491032
38,7500,14.63736264,492232
23,8000,14.42307692,493432
23,8500,14.20879121,494632
45,9000,17,495832
3,3000,18,497032
23,2000,19,498232
34,4000,20,499432
34,4000,21.43113553,500632
45,4500,22.6670853,501832
45,5000,23.90303506,503032
4,5500,25.13898482,504232
54,6000,26.37493459,505432
54,6500,27.61088435,506632
3,7000,28.84683412,507832
43,7500,30.08278388,509032
3,8000,31.31873365,510232
42,8500,20,511432
23,9000,23,512632
32,3000,23,513832
45,2000,25,515032
56,4000,25,516232
57,4000,15,517432
38,4500,25,518632
23,5000,25,519832
23,5500,28,521032
45,6000,14,522232
3,6500,24,523432
23,7000,19,524632
34,7500,19,525832
34,8000,20.42307692,527032
45,8500,20.20879121,528232
45,9000,19.99450549,529432
4,3000,19.78021978,530632
54,2000,19.56593407,531832
54,4000,19.35164835,533032
3,4000,19.13736264,534232
43,4500,18.92307692,535432
3,5000,18.70879121,536632
42,5500,18.49450549,537832
23,6000,18.28021978,539032
32,6500,18.06593407,540232
45,7000,17.85164835,541432
56,7500,17.63736264,542632
57,8000,17.42307692,543832
38,8500,17.20879121,545032
23,9000,16.99450549,546232
23,3000,16.78021978,547432
45,2000,16.56593407,548632
3,4000,16.35164835,549832
23,4000,16.13736264,551032
34,4500,15.92307692,552232
34,5000,15.70879121,553432
45,5500,15.49450549,554632
45,6000,15.28021978,555832
4,6500,15.06593407,557032
54,7000,14.85164835,558232
54,7500,14.63736264,559432
3,8000,14.42307692,560632
43,8500,14.20879121,561832
3,9000,17,563032
42,3000,18,564232
23,2000,19,565432
32,4000,20,566632
45,4000,21.43113553,567832
56,3000,22.6670853,569032
57,2000,23.90303506,570232
38,4000,25.13898482,571432
23,4000,26.37493459,572632
23,4500,27.61088435,573832
45,5000,28.84683412,575032
3,5500,30.08278388,576232
23,6000,31.31873365,577432
34,6500,20,578632
34,7000,23,579832
45,7500,23,581032
45,8000,25,582232
4,8500,25,583432
54,9000,15,584632
54,3000,25,585832
3,2000,25,587032
43,4000,28,588232
3,4000,14,589432
42,4500,24,590632
23,5000,19,591832
32,5500,19,593032
45,6000,20.42307692,594232
56,6500,20.20879121,595432
57,7000,19.99450549,596632
38,7500,19.78021978,597832
23,8000,19.56593407,599032
23,8500,19.35164835,600232
45,9000,19.13736264,601432
3,3000,18.92307692,602632
23,2000,18.70879121,603832
34,4000,18.49450549,605032
34,4000,18.28021978,606232
45,4500,18.06593407,607432
45,5000,17.85164835,608632
4,5500,17.63736264,609832
54,6000,17.42307692,611032
54,6500,17.20879121,612232
3,7000,16.99450549,613432
43,7500,16.78021978,614632
3,8000,16.56593407,615832
42,8500,16.35164835,617032
23,9000,16.13736264,618232
32,3000,15.92307692,619432
45,2000,15.70879121,620632
56,4000,15.49450549,621832
57,4000,15.28021978,623032
38,4500,15.06593407,624232
23,5000,14.85164835,625432
23,5500,14.63736264,626632
45,6000,14.42307692,627832
3,6500,14.20879121,629032
23,7000,17,630232
34,7500,18,631432
34,8000,19,632632
45,8500,20,633832
45,9000,21.43113553,635032
4,3000,22.6670853,636232
54,2000,23.90303506,637432
54,4000,25.13898482,638632
3,4000,26.37493459,639832
43,4500,27.61088435,641032
3,5000,28.84683412,642232
42,5500,30.08278388,643432
23,6000,31.31873365,644632
32,6500,20,645832
45,7000,23,647032
56,7500,23,648232
57,8000,25,649432
38,8500,25,650632
23,9000,15,651832
23,3000,25,653032
45,2000,25,654232
3,4000,28,655432
23,4000,14,656632
34,4500,24,657832
34,5000,19,659032
45,5500,19,660232
45,6000,20.42307692,661432
4,6500,20.20879121,662632
54,7000,19.99450549,663832
54,7500,19.78021978,665032
3,8000,19.56593407,666232
43,8500,19.35164835,667432
3,9000,19.13736264,668632
42,3000,18.92307692,669832
23,2000,18.70879121,671032
32,4000,18.49450549,672232
45,4000,18.28021978,673432
56,3000,18.06593407,674632
57,2000,17.85164835,675832
38,4000,17.63736264,677032
23,4000,17.42307692,678232
23,4500,17.20879121,679432
45,5000,16.99450549,680632
3,5500,16.78021978,681832
23,6000,16.56593407,683032
34,6500,16.35164835,684232
34,7000,16.13736264,685432
45,7500,15.92307692,686632
45,8000,15.70879121,687832
4,8500,15.49450549,689032
54,9000,15.28021978,690232
54,3000,15.06593407,691432
3,2000,14.85164835,692632
43,4000,14.63736264,693832
3,4000,14.42307692,695032
42,4500,14.20879121,696232
23,5000,17,697432
32,5500,18,698632
45,6000,19,699832
56,6500,20,701032
57,7000,21.43113553,702232
38,7500,22.6670853,703432
23,8000,23.90303506,704632
23,8500,25.13898482,705832
45,9000,26.37493459,707032
3,3000,27.61088435,708232
23,2000,28.84683412,709432
34,4000,30.08278388,710632
34,4000,31.31873365,711832
45,4500,20,713032
45,5000,23,714232
4,5500,23,715432
54,6000,25,716632
54,6500,25,717832
3,7000,15,719032
43,7500,25,720232
3,8000,25,721432
42,8500,28,722632
23,9000,14,723832
32,3000,24,725032
45,2000,19,726232
56,4000,19,727432
57,4000,20.42307692,728632
38,4500,20.20879121,729832
23,5000,19.99450549,731032
23,5500,19.78021978,732232
45,6000,19.56593407,733432
3,6500,19.35164835,734632
23,7000,19.13736264,735832
34,7500,18.92307692,737032
34,8000,18.70879121,738232
45,8500,18.49450549,739432
45,9000,18.28021978,740632
4,3000,18.06593407,741832
54,2000,17.85164835,743032
54,4000,17.63736264,744232
3,4000,17.42307692,745432
43,4500,17.20879121,746632
3,5000,16.99450549,747832
42,5500,16.78021978,749032
23,6000,16.56593407,750232
32,6500,16.35164835,751432
45,7000,16.13736264,752632
56,7500,15.92307692,753832
57,8000,15.70879121,755032
38,8500,15.49450549,756232
23,9000,15.28021978,757432
23,3000,15.06593407,758632
45,2000,14.85164835,759832
3,4000,14.63736264,761032
23,4000,14.42307692,762232
34,4500,14.20879121,763432
34,5000,17,764632
45,5500,18,765832
45,6000,19,767032
4,6500,20,768232
54,7000,21.43113553,769432
54,7500,22.6670853,770632
3,8000,23.90303506,771832
43,8500,25.13898482,773032
3,9000,26.37493459,774232
42,3000,27.61088435,775432
23,2000,28.84683412,776632
32,4000,30.08278388,777832
45,4000,31.31873365,779032
56,3000,20,780232
57,2000,23,781432
38,4000,23,782632
23,4000,25,783832
23,4500,25,785032
45,5000,15,786232
3,5500,25,787432
23,6000,25,788632
34,6500,28,789832
34,7000,14,791032
45,7500,24,792232
45,8000,19,793432
4,8500,19,794632
54,9000,20.42307692,795832
54,3000,20.20879121,797032
3,2000,19.99450549,798232
43,4000,19.78021978,799432
3,4000,19.56593407,800632
42,4500,19.35164835,801832
23,5000,19.13736264,803032
32,5500,18.92307692,804232
45,6000,18.70879121,805432
56,6500,18.49450549,806632
57,7000,18.28021978,807832
38,7500,18.06593407,809032
23,8000,17.85164835,810232
23,8500,17.63736264,811432
45,9000,17.42307692,812632
3,3000,17.20879121,813832
23,2000,16.99450549,815032
34,4000,16.78021978,816232
34,4000,16.56593407,817432
45,4500,16.35164835,818632
45,5000,16.13736264,819832
4,5500,15.92307692,821032
54,6000,15.70879121,822232
54,6500,15.49450549,823432
3,7000,15.28021978,824632
43,7500,15.06593407,825832
3,8000,14.85164835,827032
42,8500,14.63736264,828232
23,9000,14.42307692,829432
32,3000,14.20879121,830632
45,2000,17,831832
56,4000,18,833032
57,4000,19,834232
38,4500,20,835432
23,5000,21.43113553,836632
23,5500,22.6670853,837832
45,6000,23.90303506,839032
3,6500,25.13898482,840232
23,7000,26.37493459,841432
34,7500,27.61088435,842632
34,8000,28.84683412,843832
45,8500,30.08278388,845032
45,9000,31.31873365,846232
4,3000,20,847432
54,2000,23,848632
54,4000,23,849832
3,4000,25,851032
43,4500,25,852232
3,5000,15,853432
42,5500,25,854632
23,6000,25,855832
32,6500,28,857032
45,7000,14,858232
56,7500,24,859432
57,8000,19,860632
38,8500,19,861832
23,9000,20.42307692,863032
23,3000,20.20879121,864232
45,2000,19.99450549,865432
3,4000,19.78021978,866632
23,4000,19.56593407,867832
34,4500,19.35164835,869032
34,5000,19.13736264,870232
45,5500,18.92307692,871432
45,6000,18.70879121,872632
4,6500,18.49450549,873832
54,7000,18.28021978,875032
54,7500,18.06593407,876232
3,8000,17.85164835,877432
43,8500,17.63736264,878632
3,9000,17.42307692,879832
42,3000,17.20879121,881032
23,2000,16.99450549,882232
32,4000,16.78021978,883432
45,4000,16.56593407,884632
56,3000,16.35164835,885832
57,2000,16.13736264,887032
38,4000,15.92307692,888232
23,4000,15.70879121,889432
23,4500,15.49450549,890632
45,5000,15.28021978,891832
3,5500,15.06593407,893032
23,6000,14.85164835,894232
34,6500,14.63736264,895432
34,7000,14.42307692,896632
45,7500,14.20879121,897832
45,8000,17,899032
4,8500,18,900232
54,9000,19,901432
54,3000,20,902632
3,2000,21.43113553,903832
43,4000,22.6670853,905032
3,4000,23.90303506,906232
42,4500,25.13898482,907432
23,5000,26.37493459,908632
32,5500,27.61088435,909832
45,6000,28.84683412,911032
56,6500,30.08278388,912232
57,7000,31.31873365,913432
38,7500,20,914632
23,8000,23,915832
23,8500,23,917032
45,9000,25,918232
3,3000,25,919432
23,2000,15,920632
34,4000,25,921832
34,4000,25,923032
45,4500,28,924232
45,5000,14,925432
4,5500,24,926632
54,6000,19,927832
54,6500,19,929032
3,7000,20.42307692,930232
43,7500,20.20879121,931432
3,8000,19.99450549,932632
42,8500,19.78021978,933832
23,9000,19.56593407,935032
32,3000,19.35164835,936232
45,2000,19.13736264,937432
56,4000,18.92307692,938632
57,4000,18.70879121,939832
38,4500,18.49450549,941032
23,5000,18.28021978,942232
23,5500,18.06593407,943432
45,6000,17.85164835,944632
3,6500,17.63736264,945832
23,7000,17.42307692,947032
34,7500,17.20879121,948232
34,8000,16.99450549,949432
45,8500,16.78021978,950632
45,9000,16.56593407,951832
4,3000,16.35164835,953032
54,2000,16.13736264,954232
54,4000,15.92307692,955432
3,4000,15.70879121,956632
43,4500,15.49450549,957832
3,5000,15.28021978,959032
42,5500,15.06593407,960232
23,6000,14.85164835,961432
32,6500,14.63736264,962632
45,7000,14.42307692,963832
56,7500,14.20879121,965032
57,8000,17,966232
38,8500,18,967432
23,9000,19,968632
23,3000,20,969832
45,2000,21.43113553,971032
3,4000,22.6670853,972232
23,4000,23.90303506,973432
34,4500,25.13898482,974632
34,5000,26.37493459,975832
45,5500,27.61088435,977032
45,6000,28.84683412,978232
4,6500,30.08278388,979432
54,7000,31.31873365,980632
54,7500,20,981832
3,8000,23,983032
43,8500,23,984232
3,9000,25,985432
42,3000,25,986632
23,2000,15,987832
32,4000,25,989032
45,4000,25,990232
56,3000,28,991432
57,2000,14,992632
38,4000,24,993832
23,4000,19,995032
23,4500,19,996232
45,5000,20.42307692,997432
3,5500,20.20879121,998632
23,6000,19.99450549,999832
34,6500,19.78021978,1001032
34,7000,19.56593407,1002232
45,7500,19.35164835,1003432
45,8000,19.13736264,1004632
4,8500,18.92307692,1005832
54,9000,18.70879121,1007032
54,3000,18.49450549,1008232
3,2000,18.28021978,1009432
43,4000,18.06593407,1010632
3,4000,17.85164835,1011832
42,4500,17.63736264,1013032
23,5000,17.42307692,1014232
32,5500,17.20879121,1015432
45,6000,16.99450549,1016632
56,6500,16.78021978,1017832
57,7000,16.56593407,1019032
38,7500,16.35164835,1020232
23,8000,16.13736264,1021432
23,8500,15.92307692,1022632
45,9000,15.70879121,1023832
3,3000,15.49450549,1025032
23,2000,15.28021978,1026232
34,4000,15.06593407,1027432
34,4000,14.85164835,1028632
45,4500,14.63736264,1029832
45,5000,14.42307692,1031032
4,5500,14.20879121,1032232
54,6000,17,1033432
54,6500,18,1034632
3,7000,19,1035832
43,7500,20,1037032
3,8000,21.43113553,1038232
42,8500,22.6670853,1039432
23,9000,23.90303506,1040632
32,3000,25.13898482,1041832
45,2000,26.37493459,1043032
56,4000,27.61088435,1044232
57,4000,28.84683412,1045432
38,4500,30.08278388,1046632
23,5000,31.31873365,1047832
23,5500,20,1049032
45,6000,23,1050232
3,6500,23,1051432
23,7000,25,1052632
34,7500,25,1053832
34,8000,15,1055032
45,8500,25,1056232
45,9000,25,1057432
4,3000,28,1058632
54,2000,14,1059832
54,4000,24,1061032
3,4000,19,1062232
43,4500,19,1063432
3,5000,20.42307692,1064632
42,5500,20.20879121,1065832
23,6000,19.99450549,1067032
32,6500,19.78021978,1068232
45,7000,19.56593407,1069432
56,7500,19.35164835,1070632
57,8000,19.13736264,1071832
38,8500,18.92307692,1073032
23,9000,18.70879121,1074232
23,3000,18.49450549,1075432
45,2000,18.28021978,1076632
3,4000,18.06593407,1077832
23,4000,17.85164835,1079032
34,4500,17.63736264,1080232
34,5000,17.42307692,1081432
45,5500,17.20879121,1082632
45,6000,16.99450549,1083832
4,6500,16.78021978,1085032
54,7000,16.56593407,1086232
54,7500,16.35164835,1087432
3,8000,16.13736264,1088632
43,8500,15.92307692,1089832
3,9000,15.70879121,1091032
42,3000,15.49450549,1092232
23,2000,15.28021978,1093432
32,4000,15.06593407,1094632
45,4000,14.85164835,1095832
56,3000,14.63736264,1097032
57,2000,14.42307692,1098232
38,4000,14.20879121,1099432
23,4000,17,1100632
23,4500,18,1101832
45,5000,19,1103032
3,5500,20,1104232
23,6000,21.43113553,1105432
34,6500,22.6670853,1106632
34,7000,23.90303506,1107832
45,7500,25.13898482,1109032
45,8000,26.37493459,1110232
4,8500,27.61088435,1111432
54,9000,28.84683412,1112632
54,3000,30.08278388,1113832
3,2000,31.31873365,1115032
43,4000,20,1116232
3,4000,23,1117432
42,4500,23,1118632
23,5000,25,1119832
32,5500,25,1121032
45,6000,15,1122232
56,6500,25,1123432
57,7000,25,1124632
38,7500,28,1125832
23,8000,14,1127032
23,8500,24,1128232
45,9000,19,1129432
3,3000,19,1130632
23,2000,20.42307692,1131832
34,4000,20.20879121,1133032
34,4000,19.99450549,1134232
45,4500,19.78021978,1135432
45,5000,19.56593407,1136632
4,5500,19.35164835,1137832
54,6000,19.13736264,1139032
54,6500,18.92307692,1140232
3,7000,18.70879121,1141432
43,7500,18.49450549,1142632
3,8000,18.28021978,1143832
42,8500,18.06593407,1145032
23,9000,17.85164835,1146232
32,3000,17.63736264,1147432
45,2000,17.42307692,1148632
56,4000,17.20879121,1149832
57,4000,16.99450549,1151032
38,4500,16.78021978,1152232
23,5000,16.56593407,1153432
23,5500,16.35164835,1154632
45,6000,16.13736264,1155832
3,6500,15.92307692,1157032
23,7000,15.70879121,1158232
34,7500,15.49450549,1159432
34,8000,15.28021978,1160632
45,8500,15.06593407,1161832
45,9000,14.85164835,1163032
4,3000,14.63736264,1164232
54,2000,14.42307692,1165432
54,4000,14.20879121,1166632
3,4000,17,1167832
43,4500,18,1169032
3,5000,19,1170232
42,5500,20,1171432
23,6000,21.43113553,1172632
32,6500,22.6670853,1173832
45,7000,23.90303506,1175032
56,7500,25.13898482,1176232
57,8000,26.37493459,1177432
38,8500,27.61088435,1178632
23,9000,28.84683412,1179832
23,3000,30.08278388,1181032
45,2000,31.31873365,1182232
3,4000,20,1183432
23,4000,23,1184632
34,4500,23,1185832
34,5000,25,1187032
45,5500,25,1188232
45,6000,15,1189432
4,6500,25,1190632
54,7000,25,1191832
54,7500,28,1193032
3,8000,14,1194232
43,8500,24,1195432
3,9000,19,1196632
42,3000,19,1197832
23,2000,20.42307692,1199032
32,4000,20.20879121,1200232
45,4000,19.99450549,1201432
56,3000,19.78021978,1202632
57,2000,19.56593407,1203832
38,4000,19.35164835,1205032
23,4000,19.13736264,1206232
23,4500,18.92307692,1207432
45,5000,18.70879121,1208632
3,5500,18.49450549,1209832
23,6000,18.28021978,1211032
34,6500,18.06593407,1212232
34,7000,17.85164835,1213432
45,7500,17.63736264,1214632
45,8000,17.42307692,1215832
4,8500,17.20879121,1217032
54,9000,16.99450549,1218232
54,3000,16.78021978,1219432
3,2000,16.56593407,1220632
43,4000,16.35164835,1221832
3,4000,16.13736264,1223032
42,4500,15.92307692,1224232
23,5000,15.70879121,1225432
32,5500,15.49450549,1226632
45,6000,15.28021978,1227832
56,6500,15.06593407,1229032
57,7000,14.85164835,1230232
38,7500,14.63736264,1231432
23,8000,14.42307692,1232632
23,8500,14.20879121,1233832
45,9000,17,1235032
3,3000,18,1236232
23,2000,19,1237432
34,4000,20,1238632
34,4000,21.43113553,1239832
45,4500,22.6670853,1241032
45,5000,23.90303506,1242232
4,5500,25.13898482,1243432
54,6000,26.37493459,1244632
54,6500,27.61088435,1245832
3,7000,28.84683412,1247032
43,7500,30.08278388,1248232
3,8000,31.31873365,1249432
42,8500,20,1250632
23,9000,23,1251832
32,3000,23,1253032
45,2000,25,1254232
56,4000,25,1255432
57,4000,15,1256632
38,4500,25,1257832
23,5000,25,1259032
23,5500,28,1260232
45,6000,14,1261432
3,6500,24,1262632
23,7000,19,1263832
34,7500,19,1265032
34,8000,20.42307692,1266232
45,8500,20.20879121,1267432
45,9000,19.99450549,1268632
4,3000,19.78021978,1269832
54,2000,19.56593407,1271032
54,4000,19.35164835,1272232
3,4000,19.13736264,1273432
43,4500,18.92307692,1274632
3,5000,18.70879121,1275832
42,5500,18.49450549,1277032
23,6000,18.28021978,1278232
32,6500,18.06593407,1279432
45,7000,17.85164835,1280632
56,7500,17.63736264,1281832
57,8000,17.42307692,1283032
38,8500,17.20879121,1284232
23,9000,16.99450549,1285432
23,3000,16.78021978,1286632
45,2000,16.56593407,1287832
3,4000,16.35164835,1289032
23,4000,16.13736264,1290232
34,4500,15.92307692,1291432
34,5000,15.70879121,1292632
45,5500,15.49450549,1293832
45,6000,15.28021978,1295032
4,6500,15.06593407,1296232
54,7000,14.85164835,1297432
54,7500,14.63736264,1298632
3,8000,14.42307692,1299832
43,8500,14.20879121,1301032
3,9000,17,1302232
42,3000,18,1303432
23,2000,19,1304632
32,4000,20,1305832
45,4000,21.43113553,1307032
56,3000,22.6670853,1308232
57,2000,23.90303506,1309432
38,4000,25.13898482,1310632
23,4000,26.37493459,1311832
23,4500,27.61088435,1313032
45,5000,28.84683412,1314232
3,5500,30.08278388,1315432
23,6000,31.31873365,1316632
34,6500,20,1317832
34,7000,23,1319032
45,7500,23,1320232
45,8000,25,1321432
4,8500,25,1322632
54,9000,15,1323832
54,3000,25,1325032
3,2000,25,1326232
