timestamp,speed,rpm,calculatedEngineload
1462539339677,23,5000,18.28021978
1462539339737,23,5500,18.06593407
1462539339797,45,6000,17.85164835
1462539339857,3,6500,17.63736264
1462539339917,23,7000,17.42307692
1462539339977,34,7500,17.20879121
1462539340037,34,8000,16.99450549
1462539340097,45,8500,16.78021978
1462539340157,45,9000,16.56593407
1462539340217,4,3000,16.35164835
1462539340277,54,2000,16.13736264
1462539340337,54,4000,15.92307692
1462539340397,3,4000,15.70879121
1462539340457,43,4500,15.49450549
1462539340517,3,5000,15.28021978
1462539340577,42,5500,15.06593407
1462539340637,23,6000,14.85164835
1462539340697,32,6500,14.63736264
1462539340757,45,7000,14.42307692
1462539340817,56,7500,14.20879121
1462539340877,57,8000,17
1462539340937,38,8500,18
1462539340997,23,9000,19
1462539341057,23,3000,20
1462539341117,45,2000,21.43113553
1462539341177,3,4000,22.6670853
1462539341237,23,4000,23.90303506
1462539341297,34,4500,25.13898482
1462539341357,34,5000,26.37493459
1462539341417,45,5500,27.61088435
1462539341477,45,6000,28.84683412
1462539341537,4,6500,30.08278388
1462539341597,54,7000,31.31873365
1462539341657,54,7500,20
1462539341717,3,8000,23
1462539341777,43,8500,23
1462539341837,3,9000,25
1462539341897,42,3000,25
1462539341957,23,2000,15
1462539342017,32,4000,25
1462539342077,45,4000,25
1462539342137,56,3000,28
1462539342197,57,2000,14
1462539342257,38,4000,24
1462539342317,23,4000,19
1462539342377,23,4500,19
1462539342437,45,5000,20.42307692
1462539342497,3,5500,20.20879121
1462539342557,23,6000,19.99450549
1462539342617,34,6500,19.78021978
1462539342677,34,7000,19.56593407
1462539342737,45,7500,19.35164835
1462539342797,45,8000,19.13736264
1462539342857,4,8500,18.92307692
1462539342917,54,9000,18.70879121
1462539342977,54,3000,18.49450549
1462539343037,3,2000,18.28021978
1462539343097,43,4000,18.06593407
1462539343157,3,4000,17.85164835
1462539343217,42,4500,17.63736264
1462539343277,23,5000,17.42307692
1462539343337,32,5500,17.20879121
1462539343397,45,6000,16.99450549
1462539343457,56,6500,16.78021978
1462539343517,57,7000,16.56593407
1462539343577,38,7500,16.35164835
1462539343637,23,8000,16.13736264
1462539343697,23,8500,15.92307692
1462539343757,45,9000,15.70879121
1462539343817,3,3000,15.49450549
1462539343877,23,2000,15.28021978
1462539343937,34,4000,15.06593407
1462539343997,34,4000,14.85164835
1462539344057,45,4500,14.63736264
1462539344117,45,5000,14.42307692
1462539344177,4,5500,14.20879121
1462539344237,54,6000,17
1462539344297,54,6500,18
1462539344357,3,7000,19
1462539344417,43,7500,20
1462539344477,3,8000,21.43113553
1462539344537,42,8500,22.6670853
1462539344597,23,9000,23.90303506
1462539344657,32,3000,25.13898482
1462539344717,45,2000,26.37493459
1462539344777,56,4000,27.61088435
1462539344837,57,4000,28.84683412
1462539344897,38,4500,30.08278388
1462539344957,23,5000,31.31873365
1462539345017,23,5500,20
1462539345077,45,6000,23
1462539345137,3,6500,23
1462539345197,23,7000,25
1462539345257,34,7500,25
1462539345317,34,8000,15
1462539345377,45,8500,25
1462539345437,45,9000,25
1462539345497,4,3000,28
1462539345557,54,2000,14
1462539345617,54,4000,24
1462539345677,3,4000,19
1462539345737,43,4500,19
1462539345797,3,5000,20.42307692
1462539345857,42,5500,20.20879121
1462539345917,23,6000,19.99450549
1462539345977,32,6500,19.78021978
1462539346037,45,7000,19.56593407
1462539346097,56,7500,19.35164835
1462539346157,57,8000,19.13736264
1462539346217,38,8500,18.92307692
1462539346277,23,9000,18.70879121
1462539346337,23,3000,18.49450549
1462539346397,45,2000,18.28021978
1462539346457,3,4000,18.06593407
1462539346517,23,4000,17.85164835
1462539346577,34,4500,17.63736264
1462539346637,34,5000,17.42307692
1462539346697,45,5500,17.20879121
1462539346757,45,6000,16.99450549
1462539346817,4,6500,16.78021978
1462539346877,54,7000,16.56593407
1462539346937,54,7500,16.35164835
1462539346997,3,8000,16.13736264
1462539347057,43,8500,15.92307692
1462539347117,3,9000,15.70879121
1462539347177,42,3000,15.49450549
1462539347237,23,2000,15.28021978
1462539347297,32,4000,15.06593407
1462539347357,45,4000,14.85164835
1462539347417,56,3000,14.63736264
1462539347477,57,2000,14.42307692
1462539347537,38,4000,14.20879121
1462539347597,23,4000,17
1462539347657,23,4500,18
1462539347717,45,5000,19
1462539347777,3,5500,20
1462539347837,23,6000,21.43113553
1462539347897,34,6500,22.6670853
1462539347957,34,7000,23.90303506
1462539348017,45,7500,25.13898482
1462539348077,45,8000,26.37493459
1462539348137,4,8500,27.61088435
1462539348197,54,9000,28.84683412
1462539348257,54,3000,30.08278388
1462539348317,3,2000,31.31873365
1462539348377,43,4000,20
1462539348437,3,4000,23
1462539348497,42,4500,23
1462539348557,23,5000,25
1462539348617,32,5500,25
1462539348677,45,6000,15
1462539348737,56,6500,25
1462539348797,57,7000,25
1462539348857,38,7500,28
1462539348917,23,8000,14
1462539348977,23,8500,24
1462539349037,45,9000,19
1462539349097,3,3000,19
1462539349157,23,2000,20.42307692
1462539349217,34,4000,20.20879121
1462539349277,34,4000,19.99450549
1462539349337,45,4500,19.78021978
1462539349397,45,5000,19.56593407
1462539349457,4,5500,19.35164835
1462539349517,54,6000,19.13736264
1462539349577,54,6500,18.92307692
1462539349637,3,7000,18.70879121
1462539349697,43,7500,18.49450549
1462539349757,3,8000,18.28021978
1462539349817,42,8500,18.06593407
1462539349877,23,9000,17.85164835
1462539349937,32,3000,17.63736264
1462539349997,45,2000,17.42307692
1462539350057,56,4000,17.20879121
1462539350117,57,4000,16.99450549
1462539350177,38,4500,16.78021978
1462539350237,23,5000,16.56593407
1462539350297,23,5500,16.35164835
1462539350357,45,6000,16.13736264
1462539350417,3,6500,15.92307692
1462539350477,23,7000,15.70879121
1462539350537,34,7500,15.49450549
1462539350597,34,8000,15.28021978
1462539350657,45,8500,15.06593407
1462539350717,45,9000,14.85164835
1462539350777,4,3000,14.63736264
1462539350837,54,2000,14.42307692
1462539350897,54,4000,14.20879121
1462539350957,3,4000,17
1462539351017,43,4500,18
1462539351077,3,5000,19
1462539351137,42,5500,20
1462539351197,23,6000,21.43113553
1462539351257,32,6500,22.6670853
1462539351317,45,7000,23.90303506
1462539351377,56,7500,25.13898482
1462539351437,57,8000,26.37493459
1462539351497,38,8500,27.61088435
1462539351557,23,9000,28.84683412
1462539351617,23,3000,30.08278388
1462539351677,45,2000,31.31873365
1462539351737,3,4000,20
1462539351797,23,4000,23
1462539351857,34,4500,23
1462539351917,34,5000,25
1462539351977,45,5500,25
1462539352037,45,6000,15
1462539352097,4,6500,25
1462539352157,54,7000,25
1462539352217,54,7500,28
1462539352277,3,8000,14
1462539352337,43,8500,24
1462539352397,3,9000,19
1462539352457,42,3000,19
1462539352517,23,2000,20.42307692
1462539352577,32,4000,20.20879121
1462539352637,45,4000,19.99450549
1462539352697,56,3000,19.78021978
1462539352757,57,2000,19.56593407
1462539352817,38,4000,19.35164835
1462539352877,23,4000,19.13736264
1462539352937,23,4500,18.92307692
1462539352997,45,5000,18.70879121
1462539353057,3,5500,18.49450549
1462539353117,23,6000,18.28021978
1462539353177,34,6500,18.06593407
1462539353237,34,7000,17.85164835
1462539353297,45,7500,17.63736264
1462539353357,45,8000,17.42307692
1462539353417,4,8500,17.20879121
1462539353477,54,9000,16.99450549
1462539353537,54,3000,16.78021978
1462539353597,3,2000,16.56593407
1462539353657,43,4000,16.35164835
1462539353717,3,4000,16.13736264
1462539353777,42,4500,15.92307692
1462539353837,23,5000,15.70879121
1462539353897,32,5500,15.49450549
1462539353957,45,6000,15.28021978
1462539354017,56,6500,15.06593407
1462539354077,57,7000,14.85164835
1462539354137,38,7500,14.63736264
1462539354197,23,8000,14.42307692
1462539354257,23,8500,14.20879121
1462539354317,45,9000,17
1462539354377,3,3000,18
1462539354437,23,2000,19
1462539354497,34,4000,20
1462539354557,34,4000,21.43113553
1462539354617,45,4500,22.6670853
1462539354677,45,5000,23.90303506
1462539354737,4,5500,25.13898482
1462539354797,54,6000,26.37493459
1462539354857,54,6500,27.61088435
1462539354917,3,7000,28.84683412
1462539354977,43,7500,30.08278388
1462539355037,3,8000,31.31873365
1462539355097,42,8500,20
1462539355157,23,9000,23
1462539355217,32,3000,23
1462539355277,45,2000,25
1462539355337,56,4000,25
1462539355397,57,4000,15
1462539355457,38,4500,25
1462539355517,23,5000,25
1462539355577,23,5500,28
1462539355637,45,6000,14
1462539355697,3,6500,24
1462539355757,23,7000,19
1462539355817,34,7500,19
1462539355877,34,8000,20.42307692
1462539355937,45,8500,20.20879121
1462539355997,45,9000,19.99450549
1462539356057,4,3000,19.78021978
1462539356117,54,2000,19.56593407
1462539356177,54,4000,19.35164835
1462539356237,3,4000,19.13736264
1462539356297,43,4500,18.92307692
1462539356357,3,5000,18.70879121
1462539356417,42,5500,18.49450549
1462539356477,23,6000,18.28021978
1462539356537,32,6500,18.06593407
1462539356597,45,7000,17.85164835
1462539356657,56,7500,17.63736264
1462539356717,57,8000,17.42307692
1462539356777,38,8500,17.20879121
1462539356837,23,9000,16.99450549
1462539356897,23,3000,16.78021978
1462539356957,45,2000,16.56593407
1462539357017,3,4000,16.35164835
1462539357077,23,4000,16.13736264
1462539357137,34,4500,15.92307692
1462539357197,34,5000,15.70879121
1462539357257,45,5500,15.49450549
1462539357317,45,6000,15.28021978
1462539357377,4,6500,15.06593407
1462539357437,54,7000,14.85164835
1462539357497,54,7500,14.63736264
1462539357557,3,8000,14.42307692
1462539357617,43,8500,14.20879121
1462539357677,3,9000,17
1462539357737,42,3000,18
1462539357797,23,2000,19
1462539357857,32,4000,20
1462539357917,45,4000,21.43113553
1462539357977,56,3000,22.6670853
1462539358037,57,2000,23.90303506
1462539358097,38,4000,25.13898482
1462539358157,23,4000,26.37493459
1462539358217,23,4500,27.61088435
1462539358277,45,5000,28.84683412
1462539358337,3,5500,30.08278388
1462539358397,23,6000,31.31873365
1462539358457,34,6500,20
1462539358517,34,7000,23
1462539358577,45,7500,23
1462539358637,45,8000,25
1462539358697,4,8500,25
1462539358757,54,9000,15
1462539358817,54,3000,25
1462539358877,3,2000,25
1462539358937,43,4000,28
1462539358997,3,4000,14
1462539359057,42,4500,24
1462539359117,23,5000,19
1462539359177,32,5500,19
1462539359237,45,6000,20.42307692
1462539359297,56,6500,20.20879121
1462539359357,57,7000,19.99450549
1462539359417,38,7500,19.78021978
1462539359477,23,8000,19.56593407
1462539359537,23,8500,19.35164835
1462539359597,45,9000,19.13736264
1462539359657,3,3000,18.92307692
1462539359717,23,2000,18.70879121
1462539359777,34,4000,18.49450549
1462539359837,34,4000,18.28021978
1462539359897,45,4500,18.06593407
1462539359957,45,5000,17.85164835
1462539360017,4,5500,17.63736264
1462539360077,54,6000,17.42307692
1462539360137,54,6500,17.20879121
1462539360197,3,7000,16.99450549
1462539360257,43,7500,16.78021978
1462539360317,3,8000,16.56593407
1462539360377,42,8500,16.35164835
1462539360437,23,9000,16.13736264
1462539360497,32,3000,15.92307692
1462539360557,45,2000,15.70879121
1462539360617,56,4000,15.49450549
1462539360677,57,4000,15.28021978
1462539360737,38,4500,15.06593407
1462539360797,23,5000,14.85164835
1462539360857,23,5500,14.63736264
1462539360917,45,6000,14.42307692
1462539360977,3,6500,14.20879121
1462539361037,23,7000,17
1462539361097,34,7500,18
1462539361157,34,8000,19
1462539361217,45,8500,20
1462539361277,45,9000,21.43113553
1462539361337,4,3000,22.6670853
1462539361397,54,2000,23.90303506
1462539361457,54,4000,25.13898482
1462539361517,3,4000,26.37493459
1462539361577,43,4500,27.61088435
1462539361637,3,5000,28.84683412
1462539361697,42,5500,30.08278388
1462539361757,23,6000,31.31873365
1462539361817,32,6500,20
1462539361877,45,7000,23
1462539361937,56,7500,23
1462539361997,57,8000,25
1462539362057,38,8500,25
1462539362117,23,9000,15
1462539362177,23,3000,25
1462539362237,45,2000,25
1462539362297,3,4000,28
1462539362357,23,4000,14
1462539362417,34,4500,24
1462539362477,34,5000,19
1462539362537,45,5500,19
1462539362597,45,6000,20.42307692
1462539362657,4,6500,20.20879121
1462539362717,54,7000,19.99450549
1462539362777,54,7500,19.78021978
1462539362837,3,8000,19.56593407
1462539362897,43,8500,19.35164835
1462539362957,3,9000,19.13736264
1462539363017,42,3000,18.92307692
1462539363077,23,2000,18.70879121
1462539363137,32,4000,18.49450549
1462539363197,45,4000,18.28021978
1462539363257,56,3000,18.06593407
1462539363317,57,2000,17.85164835
1462539363377,38,4000,17.63736264
1462539363437,23,4000,17.42307692
1462539363497,23,4500,17.20879121
1462539363557,45,5000,16.99450549
1462539363617,3,5500,16.78021978
1462539363677,23,6000,16.56593407
1462539363737,34,6500,16.35164835
1462539363797,34,7000,16.13736264
1462539363857,45,7500,15.92307692
1462539363917,45,8000,15.70879121
1462539363977,4,8500,15.49450549
1462539364037,54,9000,15.28021978
1462539364097,54,3000,15.06593407
1462539364157,3,2000,14.85164835
1462539364217,43,4000,14.63736264
1462539364277,3,4000,14.42307692
1462539364337,42,4500,14.20879121
1462539364397,23,5000,17
1462539364457,32,5500,18
1462539364517,45,6000,19
1462539364577,56,6500,20
1462539364637,57,7000,21.43113553
1462539364697,38,7500,22.6670853
1462539364757,23,8000,23.90303506
1462539364817,23,8500,25.13898482
1462539364877,45,9000,26.37493459
1462539364937,3,3000,27.61088435
1462539364997,23,2000,28.84683412
1462539365057,34,4000,30.08278388
1462539365117,34,4000,31.31873365
1462539365177,45,4500,20
1462539365237,45,5000,23
1462539365297,4,5500,23
1462539365357,54,6000,25
1462539365417,54,6500,25
1462539365477,3,7000,15
1462539365537,43,7500,25
1462539365597,3,8000,25
1462539365657,42,8500,28
1462539365717,23,9000,14
1462539365777,32,3000,24
1462539365837,45,2000,19
1462539365897,56,4000,19
1462539365957,57,4000,20.42307692
1462539366017,38,4500,20.20879121
1462539366077,23,5000,19.99450549
1462539366137,23,5500,19.78021978
1462539366197,45,6000,19.56593407
1462539366257,3,6500,19.35164835
1462539366317,23,7000,19.13736264
1462539366377,34,7500,18.92307692
1462539366437,34,8000,18.70879121
1462539366497,45,8500,18.49450549
1462539366557,45,9000,18.28021978
1462539366617,4,3000,18.06593407
1462539366677,54,2000,17.85164835
1462539366737,54,4000,17.63736264
1462539366797,3,4000,17.42307692
1462539366857,43,4500,17.20879121
1462539366917,3,5000,16.99450549
1462539366977,42,5500,16.78021978
1462539367037,23,6000,16.56593407
1462539367097,32,6500,16.35164835
1462539367157,45,7000,16.13736264
1462539367217,56,7500,15.92307692
1462539367277,57,8000,15.70879121
1462539367337,38,8500,15.49450549
1462539367397,23,9000,15.28021978
1462539367457,23,3000,15.06593407
1462539367517,45,2000,14.85164835
1462539367577,3,4000,14.63736264
1462539367637,23,4000,14.42307692
1462539367697,34,4500,14.20879121
1462539367757,34,5000,17
1462539367817,45,5500,18
1462539367877,45,6000,19
1462539367937,4,6500,20
1462539367997,54,7000,21.43113553
1462539368057,54,7500,22.6670853
1462539368117,3,8000,23.90303506
1462539368177,43,8500,25.13898482
1462539368237,3,9000,26.37493459
1462539368297,42,3000,27.61088435
1462539368357,23,2000,28.84683412
1462539368417,32,4000,30.08278388
1462539368477,45,4000,31.31873365
1462539368537,56,3000,20
1462539368597,57,2000,23
1462539368657,38,4000,23
1462539368717,23,4000,25
1462539368777,23,4500,25
1462539368837,45,5000,15
1462539368897,3,5500,25
1462539368957,23,6000,25
1462539369017,34,6500,28
1462539369077,34,7000,14
1462539369137,45,7500,24
1462539369197,45,8000,19
1462539369257,4,8500,19
1462539369317,54,9000,20.42307692
1462539369377,54,3000,20.20879121
1462539369437,3,2000,19.99450549
1462539369497,43,4000,19.78021978
1462539369557,3,4000,19.56593407
1462539369617,42,4500,19.35164835
1462539369677,23,5000,19.13736264
1462539369737,32,5500,18.92307692
1462539369797,45,6000,18.70879121
1462539369857,56,6500,18.49450549
1462539369917,57,7000,18.28021978
1462539369977,38,7500,18.06593407
1462539370037,23,8000,17.85164835
1462539370097,23,8500,17.63736264
1462539370157,45,9000,17.42307692
1462539370217,3,3000,17.20879121
1462539370277,23,2000,16.99450549
1462539370337,34,4000,16.78021978
1462539370397,34,4000,16.56593407
1462539370457,45,4500,16.35164835
1462539370517,45,5000,16.13736264
1462539370577,4,5500,15.92307692
1462539370637,54,6000,15.70879121
1462539370697,54,6500,15.49450549
1462539370757,3,7000,15.28021978
1462539370817,43,7500,15.06593407
1462539370877,3,8000,14.85164835
1462539370937,42,8500,14.63736264
1462539370997,23,9000,14.42307692
1462539371057,32,3000,14.20879121
1462539371117,45,2000,17
1462539371177,56,4000,18
1462539371237,57,4000,19
1462539371297,38,4500,20
1462539371357,23,5000,21.43113553
1462539371417,23,5500,22.6670853
1462539371477,45,6000,23.90303506
1462539371537,3,6500,25.13898482
1462539371597,23,7000,26.37493459
1462539371657,34,7500,27.61088435
1462539371717,34,8000,28.84683412
1462539371777,45,8500,30.08278388
1462539371837,45,9000,31.31873365
1462539371897,4,3000,20
1462539371957,54,2000,23
1462539372017,54,4000,23
1462539372077,3,4000,25
1462539372137,43,4500,25
1462539372197,3,5000,15
1462539372257,42,5500,25
1462539372317,23,6000,25
1462539372377,32,6500,28
1462539372437,45,7000,14
1462539372497,56,7500,24
1462539372557,57,8000,19
1462539372617,38,8500,19
1462539372677,23,9000,20.42307692
1462539372737,23,3000,20.20879121
1462539372797,45,2000,19.99450549
1462539372857,3,4000,19.78021978
1462539372917,23,4000,19.56593407
1462539372977,34,4500,19.35164835
1462539373037,34,5000,19.13736264
1462539373097,45,5500,18.92307692
1462539373157,45,6000,18.70879121
1462539373217,4,6500,18.49450549
1462539373277,54,7000,18.28021978
1462539373337,54,7500,18.06593407
1462539373397,3,8000,17.85164835
1462539373457,43,8500,17.63736264
1462539373517,3,9000,17.42307692
1462539373577,42,3000,17.20879121
1462539373637,23,2000,16.99450549
1462539373697,32,4000,16.78021978
1462539373757,45,4000,16.56593407
1462539373817,56,3000,16.35164835
1462539373877,57,2000,16.13736264
1462539373937,38,4000,15.92307692
1462539373997,23,4000,15.70879121
1462539374057,23,4500,15.49450549
1462539374117,45,5000,15.28021978
1462539374177,3,5500,15.06593407
1462539374237,23,6000,14.85164835
1462539374297,34,6500,14.63736264
1462539374357,34,7000,14.42307692
1462539374417,45,7500,14.20879121
1462539374477,45,8000,17
1462539374537,4,8500,18
1462539374597,54,9000,19
1462539374657,54,3000,20
1462539374717,3,2000,21.43113553
1462539374777,43,4000,22.6670853
1462539374837,3,4000,23.90303506
1462539374897,42,4500,25.13898482
1462539374957,23,5000,26.37493459
1462539375017,32,5500,27.61088435
1462539375077,45,6000,28.84683412
1462539375137,56,6500,30.08278388
1462539375197,57,7000,31.31873365
1462539375257,38,7500,20
1462539375317,23,8000,23
1462539375377,23,8500,23
1462539375437,45,9000,25
1462539375497,3,3000,25
1462539375557,23,2000,15
1462539375617,34,4000,25
1462539375677,34,4000,25
1462539375737,45,4500,28
1462539375797,45,5000,14
1462539375857,4,5500,24
1462539375917,54,6000,19
1462539375977,54,6500,19
1462539376037,3,7000,20.42307692
1462539376097,43,7500,20.20879121
1462539376157,3,8000,19.99450549
1462539376217,42,8500,19.78021978
1462539376277,23,9000,19.56593407
1462539376337,32,3000,19.35164835
1462539376397,45,2000,19.13736264
1462539376457,56,4000,18.92307692
1462539376517,57,4000,18.70879121
1462539376577,38,4500,18.49450549
1462539376637,23,5000,18.28021978
1462539376697,23,5500,18.06593407
1462539376757,45,6000,17.85164835
1462539376817,3,6500,17.63736264
1462539376877,23,7000,17.42307692
1462539376937,34,7500,17.20879121
1462539376997,34,8000,16.99450549
1462539377057,45,8500,16.78021978
1462539377117,45,9000,16.56593407
1462539377177,4,3000,16.35164835
1462539377237,54,2000,16.13736264
1462539377297,54,4000,15.92307692
1462539377357,3,4000,15.70879121
1462539377417,43,4500,15.49450549
1462539377477,3,5000,15.28021978
1462539377537,42,5500,15.06593407
1462539377597,23,6000,14.85164835
1462539377657,32,6500,14.63736264
1462539377717,45,7000,14.42307692
1462539377777,56,7500,14.20879121
1462539377837,57,8000,17
1462539377897,38,8500,18
1462539377957,23,9000,19
1462539378017,23,3000,20
1462539378077,45,2000,21.43113553
1462539378137,3,4000,22.6670853
1462539378197,23,4000,23.90303506
1462539378257,34,4500,25.13898482
1462539378317,34,5000,26.37493459
1462539378377,45,5500,27.61088435
1462539378437,45,6000,28.84683412
1462539378497,4,6500,30.08278388
1462539378557,54,7000,31.31873365
1462539378617,54,7500,20
1462539378677,3,8000,23
1462539378737,43,8500,23
1462539378797,3,9000,25
1462539378857,42,3000,25
1462539378917,23,2000,15
1462539378977,32,4000,25
1462539379037,45,4000,25
1462539379097,56,3000,28
1462539379157,57,2000,14
1462539379217,38,4000,24
1462539379277,23,4000,19
1462539379337,23,4500,19
1462539379397,45,5000,20.42307692
1462539379457,3,5500,20.20879121
1462539379517,23,6000,19.99450549
1462539379577,34,6500,19.78021978
1462539379637,34,7000,19.56593407
1462539379697,45,7500,19.35164835
1462539379757,45,8000,19.13736264
1462539379817,4,8500,18.92307692
1462539379877,54,9000,18.70879121
1462539379937,54,3000,18.49450549
1462539379997,3,2000,18.28021978
1462539380057,43,4000,18.06593407
1462539380117,3,4000,17.85164835
1462539380177,42,4500,17.63736264
1462539380237,23,5000,17.42307692
1462539380297,32,5500,17.20879121
1462539380357,45,6000,16.99450549
1462539380417,56,6500,16.78021978
1462539380477,57,7000,16.56593407
1462539380537,38,7500,16.35164835
1462539380597,23,8000,16.13736264
1462539380657,23,8500,15.92307692
1462539380717,45,9000,15.70879121
1462539380777,3,3000,15.49450549
1462539380837,23,2000,15.28021978
1462539380897,34,4000,15.06593407
1462539380957,34,4000,14.85164835
1462539381017,45,4500,14.63736264
1462539381077,45,5000,14.42307692
1462539381137,4,5500,14.20879121
1462539381197,54,6000,17
1462539381257,54,6500,18
1462539381317,3,7000,19
1462539381377,43,7500,20
1462539381437,3,8000,21.43113553
1462539381497,42,8500,22.6670853
1462539381557,23,9000,23.90303506
1462539381617,32,3000,25.13898482
1462539381677,45,2000,26.37493459
1462539381737,56,4000,27.61088435
1462539381797,57,4000,28.84683412
1462539381857,38,4500,30.08278388
1462539381917,23,5000,31.31873365
1462539381977,23,5500,20
1462539382037,45,6000,23
1462539382097,3,6500,23
1462539382157,23,7000,25
1462539382217,34,7500,25
1462539382277,34,8000,15
1462539382337,45,8500,25
1462539382397,45,9000,25
1462539382457,4,3000,28
1462539382517,54,2000,14
1462539382577,54,4000,24
1462539382637,3,4000,19
1462539382697,43,4500,19
1462539382757,3,5000,20.42307692
1462539382817,42,5500,20.20879121
1462539382877,23,6000,19.99450549
1462539382937,32,6500,19.78021978
1462539382997,45,7000,19.56593407
1462539383057,56,7500,19.35164835
1462539383117,57,8000,19.13736264
1462539383177,38,8500,18.92307692
1462539383237,23,9000,18.70879121
1462539383297,23,3000,18.49450549
1462539383357,45,2000,18.28021978
1462539383417,3,4000,18.06593407
1462539383477,23,4000,17.85164835
1462539383537,34,4500,17.63736264
1462539383597,34,5000,17.42307692
1462539383657,45,5500,17.20879121
1462539383717,45,6000,16.99450549
1462539383777,4,6500,16.78021978
1462539383837,54,7000,16.56593407
1462539383897,54,7500,16.35164835
1462539383957,3,8000,16.13736264
1462539384017,43,8500,15.92307692
1462539384077,3,9000,15.70879121
1462539384137,42,3000,15.49450549
1462539384197,23,2000,15.28021978
1462539384257,32,4000,15.06593407
1462539384317,45,4000,14.85164835
1462539384377,56,3000,14.63736264
1462539384437,57,2000,14.42307692
1462539384497,38,4000,14.20879121
1462539384557,23,4000,17
